recipe_id,recipe_name,ingredients,cuisine,state,region,meal_type,diet_type,prep_time,cook_time,total_time,nutrition,season,weather_tags,spice_level,difficulty,ingredient_count,rating,instructions,image_url,source,recipe_scope,calories,carbohydrates,protein,fat,fibre,sodium,calcium,iron,vitamin_c,folate,ingredients_clean,ingredient_list,canonical_ingredients,cooking_time_minutes,meal_match,diet_match,cuisine_match,time_match,context_score,nutrition_match_score,diet,recipe_text,han_score,region_match,cooking_time_numeric,content_score,pantry_score,expiry_score,behaviour_score,pantry_match_pct,missing_ingredient_count,rf_score,nutrition_available,nutrition_score,final_score
6264,Vegetarian Thai Massaman Curry Recipe,"['Roasted Peanuts (Moongphali)', 'Spring Onion Greens', 'Garlic', 'Tamarind Paste', 'Dry Red Chillies', 'Galangal', 'Lemon Grass', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Cloves (Laung)', 'Bay leaf (tej patta)', 'Cardamom (Elaichi) Pods/Seeds', 'Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', 'Broccoli', 'Carrot (Gajjar)', 'Palm sugar', 'Salt']",thai,,,Dinner,Diet: High Protein Vegetarian,15 M,40 M,55 M,,All,Any,,Hard,19,4.8,"['To begin making the\xa0Vegetarian Thai Massaman Curry Recipe, we will first dry roast the ingredients.', 'Place all the ingredients for roasting in small roasting pan. Roast them on medium heat, until you can smell all the aromas coming through - about 3 to 4 minutes. Once roasted, turn off the heat and keep it aside.', 'The next step is to make the masaman curry paste. Add all the ingredients for the Curry Paste along with the roasted spices into a mixer grinder\xa0and make a smooth paste by adding just a little water.', 'Keep the Masaman curry paste aside.', 'The next step is to make the curry, for this heat a teaspoon of oil in a heavy-bottomed saucepan; add the vegetables into it, sprinkle some salt and stir fry until partially cooked.', 'Once the vegetables are partially cooked, add the curry paste, the coconut milk, 1 cup of water, tofu, palm sugar, and salt to taste. Give all the ingredients a stir and bring it to a brisk boil for 3 to 4 minutes. Adjust the consistency of the curry by adding more water if required', 'Once the ingredients come to a brisk boil, turn off the heat. Check the salt and spice levels and adjust to suit your taste.', 'Transfer to a serving bowl and serve the\xa0Vegetarian Thai Massaman Curry along with Jasmine Stick Rice\xa0for weeknight dinner or parties.']",,main_7288,non_indian,,,,,,,,,,,"Roasted Peanuts (Moongphali), Spring Onion Greens, Garlic, Tamarind Paste, Dry Red Chillies, Galangal, Lemon Grass, Coriander (Dhania) Seeds, Cumin seeds (Jeera), Cloves (Laung), Bay leaf (tej patta), Cardamom (Elaichi) Pods/Seeds, Cinnamon Stick (Dalchini), Coconut milk, Tofu, Broccoli, Carrot (Gajjar), Palm sugar, Salt","['Roasted Peanuts (Moongphali)', 'Spring Onion Greens', 'Garlic', 'Tamarind Paste', 'Dry Red Chillies', 'Galangal', 'Lemon Grass', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Cloves (Laung)', 'Bay leaf (tej patta)', 'Cardamom (Elaichi) Pods/Seeds', 'Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', 'Broccoli', 'Carrot (Gajjar)', 'Palm sugar', 'Salt']","['roasted peanuts moongphali', 'spring onion greens', 'garlic', 'tamarind paste', 'dry red chillies', 'galangal', 'lemon grass', 'coriander dhania seeds', 'cumin seeds jeera', 'cloves laung', 'bay leaf tej patta', 'cardamom elaichi pods seeds', 'cinnamon stick dalchini', 'coconut milk', 'tofu', 'broccoli', 'carrot gajjar', 'palm sugar', 'salt']",,1.0,0.0,1.0,1.0,0.75,0.0,,"Vegetarian Thai Massaman Curry Recipe ['Roasted Peanuts (Moongphali)', 'Spring Onion Greens', 'Garlic', 'Tamarind Paste', 'Dry Red Chillies', 'Galangal', 'Lemon Grass', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Cloves (Laung)', 'Bay leaf (tej patta)', 'Cardamom (Elaichi) Pods/Seeds', 'Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', 'Broccoli', 'Carrot (Gajjar)', 'Palm sugar', 'Salt'] thai  Dinner  ",0.799228,1.0,,1.0,0.5,0.5,0.5,0.5,0.5,0.985,False,0.5,0.7668842
6264,Vegetarian Thai Massaman Curry Recipe,"['Roasted Peanuts (Moongphali)', 'Spring Onion Greens', 'Garlic', 'Tamarind Paste', 'Dry Red Chillies', 'Galangal', 'Lemon Grass', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Cloves (Laung)', 'Bay leaf (tej patta)', 'Cardamom (Elaichi) Pods/Seeds', 'Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', 'Broccoli', 'Carrot (Gajjar)', 'Palm sugar', 'Salt']",thai,,,Dinner,Diet: High Protein Vegetarian,15 M,40 M,55 M,,All,Any,,Hard,19,4.8,"['To begin making the\xa0Vegetarian Thai Massaman Curry Recipe, we will first dry roast the ingredients.', 'Place all the ingredients for roasting in small roasting pan. Roast them on medium heat, until you can smell all the aromas coming through - about 3 to 4 minutes. Once roasted, turn off the heat and keep it aside.', 'The next step is to make the masaman curry paste. Add all the ingredients for the Curry Paste along with the roasted spices into a mixer grinder\xa0and make a smooth paste by adding just a little water.', 'Keep the Masaman curry paste aside.', 'The next step is to make the curry, for this heat a teaspoon of oil in a heavy-bottomed saucepan; add the vegetables into it, sprinkle some salt and stir fry until partially cooked.', 'Once the vegetables are partially cooked, add the curry paste, the coconut milk, 1 cup of water, tofu, palm sugar, and salt to taste. Give all the ingredients a stir and bring it to a brisk boil for 3 to 4 minutes. Adjust the consistency of the curry by adding more water if required', 'Once the ingredients come to a brisk boil, turn off the heat. Check the salt and spice levels and adjust to suit your taste.', 'Transfer to a serving bowl and serve the\xa0Vegetarian Thai Massaman Curry along with Jasmine Stick Rice\xa0for weeknight dinner or parties.']",,main_7288,non_indian,,,,,,,,,,,"Roasted Peanuts (Moongphali), Spring Onion Greens, Garlic, Tamarind Paste, Dry Red Chillies, Galangal, Lemon Grass, Coriander (Dhania) Seeds, Cumin seeds (Jeera), Cloves (Laung), Bay leaf (tej patta), Cardamom (Elaichi) Pods/Seeds, Cinnamon Stick (Dalchini), Coconut milk, Tofu, Broccoli, Carrot (Gajjar), Palm sugar, Salt","['Roasted Peanuts (Moongphali)', 'Spring Onion Greens', 'Garlic', 'Tamarind Paste', 'Dry Red Chillies', 'Galangal', 'Lemon Grass', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Cloves (Laung)', 'Bay leaf (tej patta)', 'Cardamom (Elaichi) Pods/Seeds', 'Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', 'Broccoli', 'Carrot (Gajjar)', 'Palm sugar', 'Salt']","['roasted peanuts moongphali', 'spring onion greens', 'garlic', 'tamarind paste', 'dry red chillies', 'galangal', 'lemon grass', 'coriander dhania seeds', 'cumin seeds jeera', 'cloves laung', 'bay leaf tej patta', 'cardamom elaichi pods seeds', 'cinnamon stick dalchini', 'coconut milk', 'tofu', 'broccoli', 'carrot gajjar', 'palm sugar', 'salt']",,1.0,0.0,1.0,1.0,0.75,0.0,,"Vegetarian Thai Massaman Curry Recipe ['Roasted Peanuts (Moongphali)', 'Spring Onion Greens', 'Garlic', 'Tamarind Paste', 'Dry Red Chillies', 'Galangal', 'Lemon Grass', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Cloves (Laung)', 'Bay leaf (tej patta)', 'Cardamom (Elaichi) Pods/Seeds', 'Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', 'Broccoli', 'Carrot (Gajjar)', 'Palm sugar', 'Salt'] thai  Dinner  ",0.7486663,1.0,,1.0,0.5,0.5,0.5,0.5,0.5,0.985,False,0.5,0.759299945
1205,Homemade Paneer Recipe,"['Milk', 'Lemon juice']",indian,,,Dinner,Diet: High Protein Vegetarian,10 M,60 M,70 M,,All,Any,,Hard,2,4.9,"['To begin making the Homemade Paneer, into a\xa0heavy bottomed\xa0pan, pour the 3 liters of milk. Turn the heat to high and wait for the milk to come to a boil.', 'When the milk begins to boil add in the freshly squeezed lemon juice. You will notice that the milk begins to curdle separating the milk into cheese and whey.', 'The cheese is also called the chenna. Turn off the heat and allow the cheese to rest in the whey for about 5 minutes.', 'Now that that chenna is rested for about 5 minutes ,\xa0we will separate the whey and the chenna using a thin sieve strainer and a muslin cloth.', 'Press down the chenna using a flat spatula to drain the excess water and give the paneer a shape.', 'Fold the muslin cloth, place it on a flat plate with a larger plate below it. Next place another heavy weighted object over this chenna in muslin cloth.', 'Refrigerate this entire set up for about 2 hours to get a firm paneer. You will notice that the bottom plate has collected some whey and the paneer will be firm after two hours of weight pressed over it and also along with refrigerated.', 'At this stage, you can remove the muslin cloth and cut the paneer into pieces and use it as desired. Here are 100 Paneer Recipes that are easy to cook and delicious too.']",,main_7288,indian,,,,,,,,,,,"Milk, Lemon juice","['Milk', 'Lemon juice']","['milk', 'lemon juice']",,1.0,0.0,1.0,1.0,0.75,0.0,,"Homemade Paneer Recipe ['Milk', 'Lemon juice'] indian  Dinner  ",0.8542637,1.0,,0.7565543953558663,0.5,0.5,0.5,0.5,0.5,0.97,False,0.5,0.7234504340711732
2891,Vegetarian Thai Massaman Curry Recipe,"4 tablespoons Roasted Peanuts (Moongphali),1 Spring Onion Greens - finely chopped,2 cloves Garlic,1 teaspoon Tamarind Paste,2 Dry Red Chillies,1 inch Galangal - or ginger,1 Stalk Lemon Grass - chopped,1/2 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),2 Cloves (Laung),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),300 ml Coconut milk,200 grams Tofu,1 Broccoli - small head,1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces,2 teaspoons Palm sugar - or brown sugar,Salt - to taste",thai,,,Dinner,High Protein Vegetarian,15,40,55,,All,Any,,Hard,19,,"To begin making the Vegetarian Thai Massaman Curry Recipe, we will first dry roast the ingredients. Place all the ingredients for roasting in small roasting pan. Roast them on medium heat, until you can smell all the aromas coming through - about 3 to 4 minutes. Once roasted, turn off the heat and keep it aside.The next step is to make the masaman curry paste. Add all the ingredients for the Curry Paste along with the roasted spices into a mixer grinder and make a smooth paste by adding just a little water.Keep the Masaman curry paste aside.The next step is to make the curry, for this heat a teaspoon of oil in a heavy-bottomed saucepan; add the vegetables into it, sprinkle some salt and stir fry until partially cooked.Once the vegetables are partially cooked, add the curry paste, the coconut milk, 1 cup of water, tofu, palm sugar, and salt to taste. Give all the ingredients a stir and bring it to a brisk boil for 3 to 4 minutes. Adjust the consistency of the curry by adding more water if requiredOnce the ingredients come to a brisk boil, turn off the heat. Check the salt and spice levels and adjust to suit your taste. Transfer to a serving bowl and serve the Vegetarian Thai Massaman Curry along with Jasmine Stick Rice for weeknight dinner or parties.",,ELR_1000,non_indian,,,,,,,,,,,"Roasted Peanuts (Moongphali),1 Spring Onion Greens - finely chopped,2 cloves Garlic, Tamarind Paste,2 Dry Red Chillies,1 inch Galangal - or ginger,1 Stalk Lemon Grass - chopped, Coriander (Dhania) Seeds, Cumin seeds (Jeera),2 Cloves (Laung),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini), Coconut milk, Tofu,1 Broccoli - small head,1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces, Palm sugar - or brown sugar,Salt - to taste","['Roasted Peanuts (Moongphali)', '1 Spring Onion Greens - finely chopped', '2 cloves Garlic', 'Tamarind Paste', '2 Dry Red Chillies', '1 inch Galangal - or ginger', '1 Stalk Lemon Grass - chopped', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', '2 Cloves (Laung)', '1 Bay leaf (tej patta)', '2 Cardamom (Elaichi) Pods/Seeds', '1/2 inch Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', '1 Broccoli - small head', '1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces', 'Palm sugar - or brown sugar', 'Salt - to taste']","['roasted peanuts moongphali', '1 spring onion greens finely chopped', '2 cloves garlic', 'tamarind paste', '2 dry red chillies', '1 inch galangal or ginger', '1 stalk lemon grass chopped', 'coriander dhania seeds', 'cumin seeds jeera', '2 cloves laung', '1 bay leaf tej patta', '2 cardamom elaichi pods seeds', '1 2 inch cinnamon stick dalchini', 'coconut milk', 'tofu', '1 broccoli small head', '1 carrot gajjar cut lengthwise into 1 inch thin pieces', 'palm sugar or brown sugar', 'salt to taste']",55.0,1.0,0.0,1.0,1.0,0.75,0.0,,"Vegetarian Thai Massaman Curry Recipe 4 tablespoons Roasted Peanuts (Moongphali),1 Spring Onion Greens - finely chopped,2 cloves Garlic,1 teaspoon Tamarind Paste,2 Dry Red Chillies,1 inch Galangal - or ginger,1 Stalk Lemon Grass - chopped,1/2 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),2 Cloves (Laung),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),300 ml Coconut milk,200 grams Tofu,1 Broccoli - small head,1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces,2 teaspoons Palm sugar - or brown sugar,Salt - to taste thai  Dinner  ",0.799228,1.0,55.0,0.7863913835955192,0.5,0.5,0.5,0.5,0.5,0.895,False,0.5,0.7061624767191038
1205,Homemade Paneer Recipe,"['Milk', 'Lemon juice']",indian,,,Dinner,Diet: High Protein Vegetarian,10 M,60 M,70 M,,All,Any,,Hard,2,4.9,"['To begin making the Homemade Paneer, into a\xa0heavy bottomed\xa0pan, pour the 3 liters of milk. Turn the heat to high and wait for the milk to come to a boil.', 'When the milk begins to boil add in the freshly squeezed lemon juice. You will notice that the milk begins to curdle separating the milk into cheese and whey.', 'The cheese is also called the chenna. Turn off the heat and allow the cheese to rest in the whey for about 5 minutes.', 'Now that that chenna is rested for about 5 minutes ,\xa0we will separate the whey and the chenna using a thin sieve strainer and a muslin cloth.', 'Press down the chenna using a flat spatula to drain the excess water and give the paneer a shape.', 'Fold the muslin cloth, place it on a flat plate with a larger plate below it. Next place another heavy weighted object over this chenna in muslin cloth.', 'Refrigerate this entire set up for about 2 hours to get a firm paneer. You will notice that the bottom plate has collected some whey and the paneer will be firm after two hours of weight pressed over it and also along with refrigerated.', 'At this stage, you can remove the muslin cloth and cut the paneer into pieces and use it as desired. Here are 100 Paneer Recipes that are easy to cook and delicious too.']",,main_7288,indian,,,,,,,,,,,"Milk, Lemon juice","['Milk', 'Lemon juice']","['milk', 'lemon juice']",,1.0,0.0,1.0,1.0,0.75,0.0,,"Homemade Paneer Recipe ['Milk', 'Lemon juice'] indian  Dinner  ",0.70590407,1.0,,0.7565543953558663,0.5,0.5,0.5,0.5,0.5,0.97,False,0.5,0.7011964895711732
2891,Vegetarian Thai Massaman Curry Recipe,"4 tablespoons Roasted Peanuts (Moongphali),1 Spring Onion Greens - finely chopped,2 cloves Garlic,1 teaspoon Tamarind Paste,2 Dry Red Chillies,1 inch Galangal - or ginger,1 Stalk Lemon Grass - chopped,1/2 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),2 Cloves (Laung),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),300 ml Coconut milk,200 grams Tofu,1 Broccoli - small head,1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces,2 teaspoons Palm sugar - or brown sugar,Salt - to taste",thai,,,Dinner,High Protein Vegetarian,15,40,55,,All,Any,,Hard,19,,"To begin making the Vegetarian Thai Massaman Curry Recipe, we will first dry roast the ingredients. Place all the ingredients for roasting in small roasting pan. Roast them on medium heat, until you can smell all the aromas coming through - about 3 to 4 minutes. Once roasted, turn off the heat and keep it aside.The next step is to make the masaman curry paste. Add all the ingredients for the Curry Paste along with the roasted spices into a mixer grinder and make a smooth paste by adding just a little water.Keep the Masaman curry paste aside.The next step is to make the curry, for this heat a teaspoon of oil in a heavy-bottomed saucepan; add the vegetables into it, sprinkle some salt and stir fry until partially cooked.Once the vegetables are partially cooked, add the curry paste, the coconut milk, 1 cup of water, tofu, palm sugar, and salt to taste. Give all the ingredients a stir and bring it to a brisk boil for 3 to 4 minutes. Adjust the consistency of the curry by adding more water if requiredOnce the ingredients come to a brisk boil, turn off the heat. Check the salt and spice levels and adjust to suit your taste. Transfer to a serving bowl and serve the Vegetarian Thai Massaman Curry along with Jasmine Stick Rice for weeknight dinner or parties.",,ELR_1000,non_indian,,,,,,,,,,,"Roasted Peanuts (Moongphali),1 Spring Onion Greens - finely chopped,2 cloves Garlic, Tamarind Paste,2 Dry Red Chillies,1 inch Galangal - or ginger,1 Stalk Lemon Grass - chopped, Coriander (Dhania) Seeds, Cumin seeds (Jeera),2 Cloves (Laung),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini), Coconut milk, Tofu,1 Broccoli - small head,1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces, Palm sugar - or brown sugar,Salt - to taste","['Roasted Peanuts (Moongphali)', '1 Spring Onion Greens - finely chopped', '2 cloves Garlic', 'Tamarind Paste', '2 Dry Red Chillies', '1 inch Galangal - or ginger', '1 Stalk Lemon Grass - chopped', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', '2 Cloves (Laung)', '1 Bay leaf (tej patta)', '2 Cardamom (Elaichi) Pods/Seeds', '1/2 inch Cinnamon Stick (Dalchini)', 'Coconut milk', 'Tofu', '1 Broccoli - small head', '1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces', 'Palm sugar - or brown sugar', 'Salt - to taste']","['roasted peanuts moongphali', '1 spring onion greens finely chopped', '2 cloves garlic', 'tamarind paste', '2 dry red chillies', '1 inch galangal or ginger', '1 stalk lemon grass chopped', 'coriander dhania seeds', 'cumin seeds jeera', '2 cloves laung', '1 bay leaf tej patta', '2 cardamom elaichi pods seeds', '1 2 inch cinnamon stick dalchini', 'coconut milk', 'tofu', '1 broccoli small head', '1 carrot gajjar cut lengthwise into 1 inch thin pieces', 'palm sugar or brown sugar', 'salt to taste']",55.0,1.0,0.0,1.0,1.0,0.75,0.0,,"Vegetarian Thai Massaman Curry Recipe 4 tablespoons Roasted Peanuts (Moongphali),1 Spring Onion Greens - finely chopped,2 cloves Garlic,1 teaspoon Tamarind Paste,2 Dry Red Chillies,1 inch Galangal - or ginger,1 Stalk Lemon Grass - chopped,1/2 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),2 Cloves (Laung),1 Bay leaf (tej patta),2 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),300 ml Coconut milk,200 grams Tofu,1 Broccoli - small head,1 Carrot (Gajjar) - cut lengthwise into 1 inch thin pieces,2 teaspoons Palm sugar - or brown sugar,Salt - to taste thai  Dinner  ",0.7486663,1.0,55.0,0.7863913835955192,0.5,0.5,0.5,0.5,0.5,0.895,False,0.5,0.6985782217191038
6868,No Onion No Garlic Raw Tomato Sabzi Recipe,"['Tomatoes', 'Green Chillies', 'Cumin seeds (Jeera)', 'Curry leaves', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Salt', 'Jaggery', 'Oil', 'Garam masala powder']",indian,,,Dinner,Diet: Vegetarian,10 M,20 M,30 M,,All,Any,,Medium,11,4.9,"['To begin making the No Onion No Garlic Raw Tomato Sabzi recipe, chop the raw tomatoes lengthwise into slices.', 'Heat oil in a kadhai/wok. Once the oil is hot, add cumin seeds and allow it to crackle.', 'Add finely chopped green chillies and curry leaves and give it a mix. Add turmeric powder, and stir.', 'Throw in the raw tomato slices. Add red chilli powder, coriander powder and sendha namak. You can as well add regular table salt to the recipe too. Mix well.', 'Continue to cook. Do not over cook the tomatoes. Cook only till the raw tomatoes are cooked al dente, such that they retain their crunchiness.', 'Now add the jaggery powder and garam masala powder. Mix everything well.', 'Remove from flame immediately. Garnish with some fresh coriander leaves and serve hot.', 'Serve No Onion No Garlic Raw Tomato Sabzi along with\xa0Dal Banjara\xa0and\xa0Phulkas\xa0for a weekday meal.']",,main_7288,indian,,,,,,,,,,,"Tomatoes, Green Chillies, Cumin seeds (Jeera), Curry leaves, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Salt, Jaggery, Oil, Garam masala powder","['Tomatoes', 'Green Chillies', 'Cumin seeds (Jeera)', 'Curry leaves', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Salt', 'Jaggery', 'Oil', 'Garam masala powder']","['tomato', 'green chilli', 'cumin seeds jeera', 'curry leaves', 'turmeric powder haldi', 'red chilli powder', 'coriander powder dhania', 'salt', 'jaggery', 'oil', 'garam masala powder']",,1.0,0.0,1.0,1.0,0.75,0.0,,"No Onion No Garlic Raw Tomato Sabzi Recipe ['Tomatoes', 'Green Chillies', 'Cumin seeds (Jeera)', 'Curry leaves', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Salt', 'Jaggery', 'Oil', 'Garam masala powder'] indian  Dinner  ",0.7983432,1.0,,0.43870975246609,0.5,0.5,0.5,0.5,0.5,0.985,False,0.5,0.6544934304932181
6868,No Onion No Garlic Raw Tomato Sabzi Recipe,"['Tomatoes', 'Green Chillies', 'Cumin seeds (Jeera)', 'Curry leaves', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Salt', 'Jaggery', 'Oil', 'Garam masala powder']",indian,,,Dinner,Diet: Vegetarian,10 M,20 M,30 M,,All,Any,,Medium,11,4.9,"['To begin making the No Onion No Garlic Raw Tomato Sabzi recipe, chop the raw tomatoes lengthwise into slices.', 'Heat oil in a kadhai/wok. Once the oil is hot, add cumin seeds and allow it to crackle.', 'Add finely chopped green chillies and curry leaves and give it a mix. Add turmeric powder, and stir.', 'Throw in the raw tomato slices. Add red chilli powder, coriander powder and sendha namak. You can as well add regular table salt to the recipe too. Mix well.', 'Continue to cook. Do not over cook the tomatoes. Cook only till the raw tomatoes are cooked al dente, such that they retain their crunchiness.', 'Now add the jaggery powder and garam masala powder. Mix everything well.', 'Remove from flame immediately. Garnish with some fresh coriander leaves and serve hot.', 'Serve No Onion No Garlic Raw Tomato Sabzi along with\xa0Dal Banjara\xa0and\xa0Phulkas\xa0for a weekday meal.']",,main_7288,indian,,,,,,,,,,,"Tomatoes, Green Chillies, Cumin seeds (Jeera), Curry leaves, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Salt, Jaggery, Oil, Garam masala powder","['Tomatoes', 'Green Chillies', 'Cumin seeds (Jeera)', 'Curry leaves', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Salt', 'Jaggery', 'Oil', 'Garam masala powder']","['tomato', 'green chilli', 'cumin seeds jeera', 'curry leaves', 'turmeric powder haldi', 'red chilli powder', 'coriander powder dhania', 'salt', 'jaggery', 'oil', 'garam masala powder']",,1.0,0.0,1.0,1.0,0.75,0.0,,"No Onion No Garlic Raw Tomato Sabzi Recipe ['Tomatoes', 'Green Chillies', 'Cumin seeds (Jeera)', 'Curry leaves', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Salt', 'Jaggery', 'Oil', 'Garam masala powder'] indian  Dinner  ",0.7932706,1.0,,0.43870975246609,0.5,0.5,0.5,0.5,0.5,0.985,False,0.5,0.653732540493218
8915,Garlic Red Chicken Gravy Recipe,"['Chicken', 'Oil', 'Butter (Salted)', 'Onion', 'Dry Red Chillies', 'Garlic', 'Curd (Dahi / Yogurt)', 'Turmeric powder (Haldi)', 'Salt', 'Cumin powder (Jeera)']",north indian,,,Dinner,Diet: High Protein Non Vegetarian,5 M,15 M,20 M,,All,Any,,Easy,10,4.7,"['To begin making the Garlic Red Chicken Gravy recipe, soak red chillies and garlic for 10 minutes in hot water.', 'Take a mixie jar. Grind the soaked red chillies and garlic into a fine paste. Keep it aside.', 'To begin the garlic red chicken gravy, heat oil in a pressure cooker. Add finely chopped onions, stir it till it turns golden brown.', 'Now add chicken, salt and turmeric powder in it. Add the paste and stir well.', 'Add curd and mix it properly. Now add cumin powder and stir.', 'Next, close the pressure cooker lid and wait for one whistle. The Hot spicy delicious Garlic red chicken gravy is ready to serve now.', 'Serve Garlic Red Chicken Gravy along with\xa0Steamed Rice\xa0or a\xa0Garlic Naan\xa0for a weekday meal.']",,main_7288,indian,,,,,,,,,,,"Chicken, Oil, Butter (Salted), Onion, Dry Red Chillies, Garlic, Curd (Dahi / Yogurt), Turmeric powder (Haldi), Salt, Cumin powder (Jeera)","['Chicken', 'Oil', 'Butter (Salted)', 'Onion', 'Dry Red Chillies', 'Garlic', 'Curd (Dahi / Yogurt)', 'Turmeric powder (Haldi)', 'Salt', 'Cumin powder (Jeera)']","['chicken', 'oil', 'butter salted', 'onion', 'dry red chillies', 'garlic', 'curd dahi yogurt', 'turmeric powder haldi', 'salt', 'cumin powder jeera']",,1.0,0.0,1.0,1.0,0.75,0.0,,"Garlic Red Chicken Gravy Recipe ['Chicken', 'Oil', 'Butter (Salted)', 'Onion', 'Dry Red Chillies', 'Garlic', 'Curd (Dahi / Yogurt)', 'Turmeric powder (Haldi)', 'Salt', 'Cumin powder (Jeera)'] north indian  Dinner  ",0.84976876,1.0,,0.38664301780580534,0.5,0.5,0.5,0.5,0.5,0.985,False,0.5,0.6517939175611611
7085,Mushroom Curry Recipe,"['Button mushrooms', 'Onion', 'Green Bell Pepper (Capsicum)', 'Garlic', 'Ginger', 'Tomato', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Garam masala powder', 'Oil', 'Mint Leaves (Pudina)', 'Salt']",north indian,,,Dinner,Diet: Vegetarian,10 M,35 M,45 M,,All,Any,,Medium,12,4.9,"['To begin making Mushroom Curry, first heat oil in a pan or wok and add onions, ginger, garlic and capsicum and saute until the onions soften.', 'Next add the mushrooms and saute until mushrooms are cooked.', 'Once done add the tomato puree and the dry maslas like turmeric powder, red chilli powder, garam masala and salt.', 'Bring the Mushroom curry to a brisk boil for two to three minutes.', 'Stir in the chopped mint leaves and turn off the heat. Check the salt and seasoning and adjust to suit your taste accordingly.\xa0Transfer Mushroom Curry into a serving bowl.', 'Serve Mushroom Curry for your lunch/ weeknight dinner or even at your parties with\xa0Pudina Tawa Paratha,\xa0Tadkewali Masoor Dal\xa0and\xa0Rose Greek Yogurt Dessert\xa0.']",,main_7288,indian,,,,,,,,,,,"Button mushrooms, Onion, Green Bell Pepper (Capsicum), Garlic, Ginger, Tomato, Turmeric powder (Haldi), Red Chilli powder, Garam masala powder, Oil, Mint Leaves (Pudina), Salt","['Button mushrooms', 'Onion', 'Green Bell Pepper (Capsicum)', 'Garlic', 'Ginger', 'Tomato', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Garam masala powder', 'Oil', 'Mint Leaves (Pudina)', 'Salt']","['button mushrooms', 'onion', 'green bell pepper capsicum', 'garlic', 'ginger', 'tomato', 'turmeric powder haldi', 'red chilli powder', 'garam masala powder', 'oil', 'mint leaves pudina', 'salt']",,1.0,0.0,1.0,1.0,0.75,0.0,,"Mushroom Curry Recipe ['Button mushrooms', 'Onion', 'Green Bell Pepper (Capsicum)', 'Garlic', 'Ginger', 'Tomato', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Garam masala powder', 'Oil', 'Mint Leaves (Pudina)', 'Salt'] north indian  Dinner  ",0.8478746,1.0,,0.38133798056006885,0.5,0.5,0.5,0.5,0.5,0.985,False,0.5,0.6504487861120138
