node_id,node_type,original_id,label
recipe_0,recipe,1,Balu shahi
ingredient_1,ingredient,maida flour,maida flour
ingredient_2,ingredient,yogurt,yogurt
ingredient_3,ingredient,oil,oil
ingredient_4,ingredient,sugar,sugar
diet_5,diet,vegetarian,vegetarian
meal_type_6,meal_type,dessert,dessert
region_7,region,east,east
state_8,state,west bengal,west bengal
recipe_9,recipe,2,Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe
ingredient_10,ingredient,black urad dal split,black urad dal split
ingredient_11,ingredient,rajma large kidney beans,rajma large kidney beans
ingredient_12,ingredient,tomato,tomato
ingredient_13,ingredient,ginger,ginger
ingredient_14,ingredient,ghee,ghee
ingredient_15,ingredient,cumin seeds jeera,cumin seeds jeera
ingredient_16,ingredient,kashmiri dry red chillies,kashmiri dry red chillies
ingredient_17,ingredient,coriander powder dhania,coriander powder dhania
ingredient_18,ingredient,garam masala powder,garam masala powder
cuisine_19,cuisine,punjabi,punjabi
diet_20,diet,diet: high protein vegetarian,diet: high protein vegetarian
meal_type_21,meal_type,dinner,dinner
region_22,region,north,north
state_23,state,punjab,punjab
recipe_24,recipe,3,Chicken Spinach Cheese Balls Recipe
ingredient_25,ingredient,spinach,spinach
ingredient_26,ingredient,britannia cheese cubes,britannia cheese cubes
ingredient_27,ingredient,chicken keema,chicken keema
ingredient_28,ingredient,salt,salt
ingredient_29,ingredient,garlic powder,garlic powder
ingredient_30,ingredient,mixed herbs dried,mixed herbs dried
ingredient_31,ingredient,red chilli flakes,red chilli flakes
ingredient_32,ingredient,extra virgin olive oil,extra virgin olive oil
ingredient_33,ingredient,black pepper powder,black pepper powder
ingredient_34,ingredient,egg,egg
ingredient_35,ingredient,whole wheat bread crumbs,whole wheat bread crumbs
cuisine_36,cuisine,italian recipes,italian recipes
diet_37,diet,diet: high protein non vegetarian,diet: high protein non vegetarian
meal_type_38,meal_type,appetizer,appetizer
recipe_39,recipe,4,Punjabi Sabut Moong Ki Dal Recipe (Whole Green Lentils Cooked With Punjabi Spices)
ingredient_40,ingredient,green moong dal whole,green moong dal whole
ingredient_41,ingredient,onion,onion
ingredient_42,ingredient,garlic,garlic
ingredient_43,ingredient,green chilli,green chilli
ingredient_44,ingredient,turmeric powder haldi,turmeric powder haldi
ingredient_45,ingredient,kashmiri red chilli powder,kashmiri red chilli powder
ingredient_46,ingredient,coriander dhania leaves,coriander dhania leaves
cuisine_47,cuisine,north indian,north indian
meal_type_48,meal_type,lunch,lunch
recipe_49,recipe,5,Lavand-E-Murgh Recipe - Afghani Chicken In Yoghurt Gravy
ingredient_50,ingredient,chicken,chicken
ingredient_51,ingredient,cardamom elaichi pods seeds,cardamom elaichi pods seeds
ingredient_52,ingredient,cinnamon stick dalchini,cinnamon stick dalchini
ingredient_53,ingredient,cloves laung,cloves laung
ingredient_54,ingredient,ginger garlic paste,ginger garlic paste
ingredient_55,ingredient,water,water
ingredient_56,ingredient,curd dahi yogurt,curd dahi yogurt
ingredient_57,ingredient,whole almonds badam,whole almonds badam
ingredient_58,ingredient,fresh pomegranate fruit kernels,fresh pomegranate fruit kernels
cuisine_59,cuisine,afghan,afghan
recipe_60,recipe,6,Thai Coconut Curry Soup Recipe
ingredient_61,ingredient,poppy seeds,poppy seeds
ingredient_62,ingredient,sesame seeds til seeds,sesame seeds til seeds
ingredient_63,ingredient,cashew nuts,cashew nuts
ingredient_64,ingredient,coconut milk,coconut milk
ingredient_65,ingredient,vegetable stock,vegetable stock
ingredient_66,ingredient,lemon grass,lemon grass
ingredient_67,ingredient,kaffir lime leaves,kaffir lime leaves
ingredient_68,ingredient,bay leaves tej patta,bay leaves tej patta
ingredient_69,ingredient,coconut oil,coconut oil
ingredient_70,ingredient,archanas kitchen millet noodles,archanas kitchen millet noodles
ingredient_71,ingredient,sultana raisins,sultana raisins
cuisine_72,cuisine,thai,thai
diet_73,diet,diet: vegetarian,diet: vegetarian
recipe_74,recipe,7,Carrot Ribbon Salad With Asian Sesame Dressing Recipe
ingredient_75,ingredient,carrots gajjar,carrots gajjar
ingredient_76,ingredient,red onion,red onion
ingredient_77,ingredient,sesame gingelly oil,sesame gingelly oil
ingredient_78,ingredient,groundnut oil,groundnut oil
ingredient_79,ingredient,rice wine vinegar,rice wine vinegar
ingredient_80,ingredient,honey,honey
ingredient_81,ingredient,fresh red chilli,fresh red chilli
ingredient_82,ingredient,fresh orange juice,fresh orange juice
ingredient_83,ingredient,mint leaves pudina,mint leaves pudina
cuisine_84,cuisine,continental,continental
meal_type_85,meal_type,side dish,side dish
recipe_86,recipe,8,Gawar Ki Sabzi Recipe - Cluster Beans Curry
ingredient_87,ingredient,gawar phali kothavarangai cluster beans,gawar phali kothavarangai cluster beans
ingredient_88,ingredient,ajwain carom seeds,ajwain carom seeds
ingredient_89,ingredient,red chilli powder,red chilli powder
cuisine_90,cuisine,rajasthani,rajasthani
state_91,state,rajasthan,rajasthan
recipe_92,recipe,9,Badami Paneer Masala Recipe -Paneer In Almond Gravy
ingredient_93,ingredient,paneer homemade cottage cheese,paneer homemade cottage cheese
ingredient_94,ingredient,dry red chillies,dry red chillies
ingredient_95,ingredient,bay leaf tej patta,bay leaf tej patta
recipe_96,recipe,10,White Bean Pasta Recipe
ingredient_97,ingredient,conchiglie pasta,conchiglie pasta
ingredient_98,ingredient,white beans,white beans
ingredient_99,ingredient,pine nuts,pine nuts
ingredient_100,ingredient,lemon juice,lemon juice
recipe_101,recipe,11,Eggless Paneer Mc Puff Recipe -Mc Donald's Style
ingredient_102,ingredient,all purpose flour maida,all purpose flour maida
ingredient_103,ingredient,chilled water,chilled water
ingredient_104,ingredient,green bell pepper capsicum,green bell pepper capsicum
ingredient_105,ingredient,red bell pepper capsicum,red bell pepper capsicum
ingredient_106,ingredient,green chilli sauce,green chilli sauce
ingredient_107,ingredient,roasted tomato pasta sauce,roasted tomato pasta sauce
ingredient_108,ingredient,soy sauce,soy sauce
ingredient_109,ingredient,butter salted,butter salted
meal_type_110,meal_type,snack,snack
recipe_111,recipe,12,Shahi Bhindi Recipe in Cashew Nut Gravy - Okras in Cashew Nut Curry
ingredient_112,ingredient,bhindi lady finger okra,bhindi lady finger okra
ingredient_113,ingredient,fresh cream,fresh cream
ingredient_114,ingredient,kasuri methi dried fenugreek leaves,kasuri methi dried fenugreek leaves
recipe_115,recipe,13,"Pita Topped With Oven Roasted Cauliflower, Basil Avocado Sauce Recipe"
ingredient_116,ingredient,mini pita breads,mini pita breads
ingredient_117,ingredient,del monte cheesy garlic mayo,del monte cheesy garlic mayo
ingredient_118,ingredient,cauliflower gobi,cauliflower gobi
ingredient_119,ingredient,coriander dhania seeds,coriander dhania seeds
ingredient_120,ingredient,fennel seeds saunf,fennel seeds saunf
ingredient_121,ingredient,avocado,avocado
ingredient_122,ingredient,basil leaves,basil leaves
ingredient_123,ingredient,milk,milk
cuisine_124,cuisine,fusion,fusion
recipe_125,recipe,14,Maakhmi Dal Recipe-Sindhi Style Moong Dal
ingredient_126,ingredient,yellow moong dal split,yellow moong dal split
ingredient_127,ingredient,cumin powder jeera,cumin powder jeera
cuisine_128,cuisine,sindhi,sindhi
meal_type_129,meal_type,main course,main course
recipe_130,recipe,15,Beet Carrot and Apple Salad in Orange Mustard Vinaigrette Recipe
ingredient_131,ingredient,beetroot,beetroot
ingredient_132,ingredient,carrot gajjar,carrot gajjar
ingredient_133,ingredient,apple,apple
ingredient_134,ingredient,walnuts,walnuts
ingredient_135,ingredient,orange zest rind,orange zest rind
ingredient_136,ingredient,english mustard sauce,english mustard sauce
recipe_137,recipe,16,Thai Lemongrass Rice Recipe
ingredient_138,ingredient,jasmine rice,jasmine rice
recipe_139,recipe,17,Four Cheese and Spinach Stuffed Mushrooms Recipe
ingredient_140,ingredient,button mushrooms,button mushrooms
ingredient_141,ingredient,spinach leaves palak,spinach leaves palak
ingredient_142,ingredient,white pepper powder,white pepper powder
ingredient_143,ingredient,parsley leaves,parsley leaves
ingredient_144,ingredient,parmesan cheese,parmesan cheese
ingredient_145,ingredient,mascarpone cheese,mascarpone cheese
ingredient_146,ingredient,britannia cream cheese,britannia cream cheese
ingredient_147,ingredient,mozzarella cheese,mozzarella cheese
